1 14 901
3 4 307
2 3 310
1 9 258
0 5 106
0 4 65
0 2 21
0 5 64
2 0 260
2 3 673
2 14 695
2 10 1018
3 12 734
1 0 243
0 14 443
1 12 345
3 4 415
3 8 478
1 1 561
2 2 124
3 8 71
3 6 184
2 13 375
0 9 61
0 12 682
2 13 375
3 8 854
2 9 325
3 4 812
3 4 471
2 5 605
2 6 82
0 13 190
0 1 972
2 1 636
2 10 966
0 15 280
3 9 298
1 14 483
2 1 115
1 2 824
0 8 146
2 14 28
3 6 421
0 13 538
3 12 927
2 3 871
3 12 112
1 6 952
1 7 593
1 6 85
1 0 572
1 6 68
2 5 953
3 6 935
3 13 653
1 12 419
2 10 998
2 2 616
1 0 23
1 4 813
1 0 782
2 10 72
3 13 257
0 9 420
3 0 512
0 2 59
2 2 632
3 8 881
1 15 969
0 8 850
0 11 887
3 6 293
0 11 164
2 8 473
2 6 724
2 4 558
3 7 551
2 13 689
2 8 142
1 0 472
3 3 171
3 10 238
1 0 597
3 15 135
1 0 508
1 8 947
1 11 858
1 10 307
1 2 321
1 2 77
2 7 857
2 6 803
1 7 45
1 15 654
2 12 227
1 8 1005
3 8 358
0 15 876
3 8 752
1 8 429
3 13 53
0 9 474
0 11 419
3 3 388
3 6 367
2 3 485
3 3 607
3 7 596
1 7 418
2 3 529
2 8 779
0 10 953
3 5 131
3 5 757
0 10 161
0 11 330
0 14 407
0 13 276
2 10 252
0 13 528
2 14 544
0 15 254
2 7 995
0 1 70
2 15 74
0 12 423
2 11 848
2 2 339
0 1 918
2 15 263
0 5 773
3 6 516
0 11 646
0 8 754
0 8 849
2 3 781
1 0 393
2 8 568
3 4 798
0 15 450
0 6 808
1 13 0
0 3 318
1 12 273
3 3 370
1 15 353
0 7 247
1 2 707
3 9 164
0 12 834
3 3 459
1 15 243
3 4 796
3 1 115
3 8 652
3 12 974
2 2 639
1 9 523
3 1 928
0 1 908
2 3 553
2 10 515
1 0 144
1 11 686
2 1 724
2 13 19
0 11 215
0 12 121
2 1 908
3 13 204
1 2 1000
0 3 946
1 11 978
3 4 758
3 2 128
2 13 410
0 6 782
1 1 811
1 15 814
2 12 300
1 8 314
1 13 436
3 14 31
1 6 661
2 14 204
3 0 675
3 1 46
0 0 755
3 7 483
1 15 49
2 6 299
2 11 82
1 6 693
0 8 857
2 2 362
